estatus,banco,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,POPULAR,33.76 ,57.41 ,0.08 ,3.79 ,0.33 ,2.65 ,57.15 ,82.88 ,1.00 ,7.06 ,8.17 ,96.80 ,63.47 ,33.33 ,3.20 ,2.63 ,40.74 ,38.75 ,33.83 ,65.98 ,2.84 ,40.70 ,59.30 ,45.61 ,62.60 ,8.04 ,2.19 ,2.70 ,8.29 ,6.74 
0,DEL PROGRESO,21.44 ,41.29 ,25.99 ,3.60 ,0.68 ,6.19 ,66.36 ,81.77 ,1.02 ,6.01 ,7.80 ,93.33 ,51.78 ,41.55 ,6.67 ,4.53 ,26.23 ,24.17 ,47.02 ,75.83 ,2.26 ,35.23 ,64.77 ,22.50 ,72.98 ,6.78 ,3.09 ,2.09 ,6.99 ,1.08 
1,BANCREDITO,31.02 ,52.89 ,0.95 ,6.75 ,1.19 ,6.05 ,53.84 ,68.46 ,1.57 ,7.96 ,10.94 ,93.50 ,56.21 ,37.29 ,6.50 ,6.51 ,45.31 ,37.25 ,31.56 ,64.64 ,2.61 ,45.75 ,54.25 ,21.94 ,60.45 ,13.90 ,6.31 ,2.14 ,4.62 ,17.09 
1,MERCANTIL,25.51 ,60.87 ,1.51 ,4.03 ,0.90 ,4.32 ,61.35 ,82.33 ,0.72 ,6.64 ,8.57 ,93.43 ,67.14 ,26.29 ,6.57 ,4.97 ,30.98 ,29.08 ,26.73 ,71.13 ,2.11 ,42.66 ,57.34 ,18.33 ,68.22 ,10.04 ,5.18 ,1.98 ,3.33 ,11.98 
0,B.H.D.,34.13 ,55.37 ,1.70 ,3.64 ,0.98 ,4.18 ,55.60 ,79.43 ,1.76 ,5.76 ,8.24 ,92.10 ,42.64 ,49.46 ,7.90 ,5.37 ,42.97 ,39.62 ,34.55 ,66.26 ,1.84 ,49.25 ,50.75 ,29.48 ,62.20 ,6.86 ,3.00 ,1.69 ,5.13 ,7.35 
1,BANINTER,1.74 ,39.02 ,0.59 ,2.53 ,0.89 ,53.94 ,34.14 ,24.14 ,1.05 ,4.28 ,4.14 ,83.93 ,49.99 ,33.94 ,16.07 ,2.38 ,7.19 ,1.94 ,1.82 ,44.20 ,2.94 ,44.24 ,55.76 ,18.07 ,41.32 ,5.24 ,2.52 ,0.79 ,(20.91),2.01 
0,CRUZ,49.87 ,24.59 ,17.48 ,5.42 ,0.41 ,1.93 ,42.02 ,79.43 ,0.58 ,9.39 ,11.29 ,97.42 ,60.68 ,36.75 ,2.58 ,2.39 ,62.79 ,59.29 ,67.35 ,50.01 ,1.80 ,43.69 ,56.31 ,14.28 ,47.43 ,10.35 ,3.53 ,1.69 ,9.16 ,0.38 
0,SANTIAGO,33.26 ,54.74 ,0.00 ,3.88 ,2.37 ,7.63 ,40.01 ,55.02 ,0.72 ,54.35 ,29.45 ,62.66 ,62.66 ,0.00 ,37.34 ,14.28 ,60.44 ,60.44 ,33.26 ,99.48 ,8.75 ,42.45 ,57.55 ,46.04 ,77.59 ,12.28 ,8.23 ,8.75 ,(4.49),0.50 
0,BDI,39.14 ,50.84 ,4.49 ,0.96 ,2.46 ,2.94 ,47.72 ,85.28 ,0.60 ,8.13 ,9.34 ,82.41 ,81.35 ,1.06 ,17.59 ,3.06 ,45.90 ,44.83 ,43.50 ,63.38 ,0.57 ,58.05 ,41.95 ,6.63 ,61.04 ,11.69 ,6.86 ,0.55 ,2.31 ,0.00 
0,PROFESIONAL,43.92 ,45.32 ,4.14 ,2.67 ,0.25 ,1.55 ,48.40 ,83.63 ,0.47 ,7.32 ,8.53 ,95.44 ,82.45 ,12.99 ,4.56 ,2.27 ,52.52 ,52.18 ,47.96 ,58.77 ,1.06 ,62.51 ,37.49 ,18.62 ,54.07 ,9.25 ,4.41 ,1.06 ,3.44 ,7.50 
0,VIMENCA,84.54 ,1.02 ,0.00 ,7.73 ,0.00 ,5.03 ,1.24 ,62.47 ,0.96 ,29.98 ,30.85 ,95.15 ,95.15 ,0.00 ,4.85 ,21.44 ,135.34 ,135.34 ,84.54 ,1.64 ,7.66 ,57.65 ,42.35 ,61.70 ,1.48 ,231.20 ,3.99 ,7.66 ,4.56 ,0.00 
0,RESERVAS,30.48 ,55.60 ,4.60 ,3.02 ,0.20 ,2.00 ,58.40 ,71.90 ,2.17 ,3.35 ,6.15 ,94.49 ,61.11 ,33.38 ,5.51 ,2.35 ,42.38 ,36.26 ,33.76 ,71.64 ,2.13 ,63.98 ,36.02 ,29.75 ,64.15 ,6.85 ,2.95 ,1.82 ,10.25 ,13.45 
0,SCOTIA BANK,43.28 ,52.96 ,0.14 ,1.57 ,0.32 ,1.00 ,52.63 ,83.36 ,1.09 ,6.43 ,10.88 ,97.18 ,84.32 ,12.86 ,2.82 ,1.96 ,51.92 ,50.14 ,43.42 ,61.52 ,2.83 ,55.54 ,44.46 ,22.08 ,59.58 ,9.97 ,3.41 ,2.74 ,19.14 ,5.21 
0,CITIBANK,19.99 ,55.09 ,11.13 ,6.12 ,0.00 ,6.50 ,65.87 ,65.96 ,3.85 ,4.59 ,20.22 ,95.90 ,61.73 ,34.16 ,4.10 ,3.47 ,30.31 ,27.47 ,31.13 ,91.01 ,3.67 ,48.81 ,51.19 ,18.77 ,83.01 ,9.67 ,1.41 ,3.32 ,16.77 ,14.68 
0,POPULAR,32.24 ,58.47 ,0.77 ,3.63 ,0.32 ,2.23 ,59.08 ,81.79 ,1.04 ,6.67 ,7.87 ,96.73 ,60.22 ,36.50 ,3.27 ,3.02 ,39.42 ,37.09 ,33.01 ,68.14 ,3.43 ,39.80 ,60.20 ,42.43 ,64.30 ,9.56 ,2.82 ,3.23 ,10.41 ,5.88 
0,DEL PROGRESO,23.54 ,43.47 ,22.77 ,3.21 ,0.61 ,5.60 ,65.27 ,80.12 ,1.13 ,5.89 ,6.65 ,93.75 ,50.44 ,43.31 ,6.25 ,4.10 ,29.38 ,26.19 ,45.87 ,73.69 ,2.65 ,35.06 ,64.94 ,15.62 ,70.96 ,8.35 ,3.86 ,2.36 ,8.68 ,1.06 
1,BANCREDITO,29.61 ,53.39 ,0.93 ,6.29 ,1.24 ,6.93 ,54.05 ,57.54 ,2.55 ,8.00 ,10.03 ,93.61 ,49.47 ,44.14 ,6.39 ,5.92 ,51.45 ,39.84 ,30.10 ,73.09 ,3.65 ,44.60 ,55.40 ,22.66 ,60.38 ,15.63 ,8.06 ,2.83 ,4.80 ,15.99 
1,MERCANTIL,23.44 ,63.61 ,0.39 ,3.93 ,0.88 ,4.54 ,62.96 ,79.78 ,1.07 ,6.54 ,8.47 ,93.67 ,63.36 ,30.30 ,6.33 ,4.78 ,29.38 ,26.74 ,23.55 ,73.02 ,2.70 ,42.35 ,57.65 ,14.40 ,69.92 ,12.10 ,6.43 ,2.45 ,3.72 ,9.05 
0,B.H.D.,35.20 ,55.44 ,1.27 ,3.33 ,0.87 ,3.78 ,52.57 ,80.55 ,2.59 ,5.32 ,7.72 ,87.54 ,36.65 ,50.89 ,12.46 ,5.38 ,43.70 ,40.30 ,35.21 ,64.94 ,2.10 ,48.84 ,51.16 ,27.41 ,61.45 ,7.98 ,3.66 ,1.94 ,6.46 ,6.05 
1,BANINTER,1.48 ,37.91 ,0.59 ,2.30 ,0.81 ,55.61 ,30.37 ,16.37 ,0.83 ,3.90 ,3.42 ,76.79 ,44.94 ,31.85 ,23.21 ,2.24 ,9.06 ,1.75 ,1.56 ,45.41 ,5.09 ,45.14 ,54.86 ,18.78 ,39.87 ,5.99 ,3.34 ,0.98 ,(28.36),1.59 
0,CRUZ,69.95 ,23.10 ,0.00 ,4.86 ,0.08 ,1.75 ,23.20 ,79.13 ,0.36 ,8.09 ,10.43 ,98.47 ,60.17 ,38.30 ,1.53 ,1.96 ,88.40 ,83.35 ,69.95 ,27.52 ,2.00 ,44.23 ,55.77 ,9.50 ,25.79 ,19.21 ,4.07 ,1.89 ,13.43 ,0.28 
0,SANTIAGO,24.47 ,59.01 ,3.26 ,4.23 ,2.63 ,8.61 ,45.65 ,65.94 ,0.85 ,60.24 ,31.82 ,61.35 ,61.35 ,0.00 ,38.65 ,14.62 ,37.11 ,37.11 ,27.72 ,94.43 ,10.07 ,43.11 ,56.89 ,46.29 ,91.33 ,14.13 ,9.48 ,10.07 ,(6.90),0.55 
0,BDI,25.61 ,51.22 ,17.52 ,1.00 ,2.67 ,3.26 ,62.03 ,86.16 ,0.41 ,9.25 ,9.72 ,84.03 ,82.77 ,1.26 ,15.97 ,3.29 ,29.72 ,29.03 ,42.97 ,77.92 ,0.73 ,57.57 ,42.43 ,6.37 ,76.14 ,12.24 ,8.93 ,0.71 ,1.88 ,0.03 
0,PROFESIONAL,48.35 ,40.90 ,4.50 ,2.38 ,0.55 ,1.98 ,44.55 ,82.28 ,0.52 ,6.56 ,8.43 ,95.73 ,80.29 ,15.44 ,4.27 ,2.24 ,58.76 ,58.52 ,52.76 ,54.94 ,1.33 ,57.76 ,42.24 ,18.87 ,49.58 ,12.26 ,5.46 ,1.32 ,4.85 ,6.89 
0,VIMENCA,33.07 ,1.11 ,56.48 ,5.72 ,0.00 ,3.54 ,57.75 ,75.05 ,0.78 ,22.10 ,23.56 ,96.45 ,96.45 ,0.00 ,3.55 ,15.69 ,44.06 ,44.06 ,89.55 ,76.73 ,5.88 ,56.50 ,43.50 ,60.16 ,75.34 ,4.60 ,3.38 ,5.88 ,8.36 ,0.00 
0,RESERVAS,32.70 ,50.46 ,6.74 ,2.98 ,0.80 ,2.88 ,56.00 ,72.14 ,2.86 ,3.17 ,5.95 ,95.29 ,62.60 ,32.69 ,4.71 ,2.38 ,45.34 ,39.51 ,38.19 ,69.10 ,2.49 ,63.27 ,36.73 ,27.66 ,60.82 ,9.16 ,3.51 ,2.17 ,12.74 ,13.05 
0,SCOTIA BANK,47.11 ,49.25 ,0.13 ,1.43 ,0.27 ,1.04 ,48.36 ,81.21 ,3.37 ,5.83 ,10.25 ,96.10 ,84.71 ,11.39 ,3.90 ,1.88 ,58.01 ,56.05 ,47.24 ,58.74 ,3.19 ,55.19 ,44.81 ,19.67 ,55.01 ,12.36 ,3.93 ,3.08 ,23.80 ,4.79 
0,CITIBANK,21.49 ,51.06 ,14.11 ,5.73 ,0.00 ,6.35 ,65.14 ,66.01 ,3.76 ,4.32 ,20.42 ,95.16 ,58.79 ,36.37 ,4.84 ,4.79 ,32.56 ,29.44 ,35.60 ,89.25 ,4.36 ,46.75 ,53.25 ,17.55 ,81.89 ,11.21 ,1.68 ,3.94 ,25.09 ,13.67 
0,POPULAR,35.33 ,55.97 ,0.09 ,3.45 ,0.30 ,2.60 ,55.80 ,81.48 ,1.03 ,6.21 ,7.50 ,96.40 ,58.77 ,37.63 ,3.60 ,3.16 ,43.36 ,40.34 ,35.41 ,64.01 ,3.88 ,39.07 ,60.93 ,41.47 ,60.60 ,11.55 ,3.30 ,3.61 ,13.10 ,4.95 
0,DEL PROGRESO,22.45 ,47.00 ,21.14 ,3.08 ,1.06 ,4.74 ,67.39 ,78.96 ,1.31 ,5.79 ,6.61 ,94.58 ,45.44 ,49.14 ,5.42 ,3.89 ,28.44 ,25.13 ,43.14 ,76.26 ,3.24 ,35.04 ,64.96 ,14.41 ,72.96 ,9.76 ,4.87 ,2.86 ,9.88 ,0.93 
0,B.H.D.,34.87 ,55.20 ,1.43 ,3.14 ,0.91 ,4.14 ,54.90 ,79.46 ,3.06 ,5.02 ,7.37 ,91.79 ,37.78 ,54.01 ,8.21 ,5.26 ,43.89 ,40.16 ,35.01 ,65.21 ,2.44 ,48.83 ,51.17 ,26.75 ,61.13 ,9.10 ,4.35 ,2.24 ,7.93 ,6.69 
0,CRUZ,57.65 ,21.76 ,14.19 ,4.27 ,0.21 ,1.59 ,36.02 ,74.79 ,0.38 ,7.08 ,13.55 ,98.46 ,61.36 ,37.10 ,1.54 ,1.86 ,77.08 ,72.92 ,71.84 ,45.47 ,2.25 ,45.06 ,54.94 ,8.48 ,41.58 ,12.37 ,4.72 ,2.13 ,10.55 ,0.16 
0,BDI,24.09 ,54.65 ,15.91 ,1.07 ,2.81 ,3.21 ,63.13 ,83.78 ,1.44 ,9.86 ,10.54 ,83.49 ,81.43 ,2.06 ,16.51 ,3.38 ,28.75 ,28.03 ,39.83 ,82.11 ,0.96 ,57.42 ,42.58 ,6.48 ,78.87 ,15.17 ,11.62 ,0.94 ,3.70 ,0.16 
0,PROFESIONAL,57.69 ,34.48 ,2.85 ,1.74 ,0.64 ,2.26 ,36.41 ,86.52 ,0.65 ,6.79 ,7.45 ,94.86 ,74.31 ,20.55 ,5.14 ,2.55 ,66.67 ,65.98 ,60.46 ,42.69 ,1.41 ,53.90 ,46.10 ,19.05 ,40.33 ,15.76 ,5.52 ,1.40 ,7.78 ,12.24 
0,VIMENCA,49.65 ,0.97 ,41.90 ,4.59 ,0.00 ,2.70 ,43.01 ,78.34 ,1.04 ,17.96 ,19.18 ,96.67 ,96.67 ,0.00 ,3.33 ,14.72 ,63.37 ,63.37 ,91.55 ,54.73 ,5.44 ,55.37 ,44.63 ,58.31 ,53.05 ,7.25 ,3.44 ,5.44 ,8.54 ,0.00 
0,RESERVAS,28.28 ,54.26 ,6.89 ,3.20 ,0.81 ,3.67 ,59.55 ,70.22 ,3.05 ,3.14 ,5.97 ,94.83 ,60.19 ,34.65 ,5.17 ,2.28 ,40.27 ,34.66 ,33.92 ,74.96 ,3.06 ,61.64 ,38.36 ,27.77 ,65.03 ,10.05 ,4.21 ,2.64 ,14.24 ,15.54 
0,SCOTIA BANK,52.73 ,43.83 ,0.11 ,1.35 ,0.22 ,1.22 ,42.81 ,84.79 ,1.24 ,5.24 ,9.59 ,95.60 ,83.50 ,12.09 ,4.40 ,1.86 ,62.19 ,60.24 ,52.85 ,50.20 ,3.26 ,54.92 ,45.08 ,17.89 ,48.61 ,15.08 ,4.15 ,3.16 ,28.86 ,4.41 
0,CITIBANK,20.85 ,53.56 ,11.60 ,5.57 ,0.00 ,7.33 ,66.01 ,65.94 ,3.44 ,4.10 ,19.82 ,96.40 ,59.57 ,36.84 ,3.60 ,5.09 ,31.62 ,28.60 ,32.45 ,89.41 ,4.90 ,47.05 ,52.95 ,15.73 ,81.28 ,12.79 ,1.96 ,4.43 ,27.82 ,20.32 
0,POPULAR,33.19 ,57.53 ,0.38 ,3.36 ,0.29 ,3.02 ,57.79 ,79.22 ,1.76 ,6.31 ,7.73 ,96.78 ,56.76 ,40.02 ,3.22 ,3.00 ,41.90 ,38.21 ,33.20 ,66.68 ,4.47 ,39.24 ,60.76 ,40.51 ,62.77 ,12.64 ,3.84 ,4.08 ,15.08 ,5.27 
0,DEL PROGRESO,33.16 ,49.24 ,8.20 ,3.05 ,1.01 ,4.81 ,56.08 ,77.14 ,1.37 ,5.69 ,6.53 ,93.25 ,43.61 ,49.64 ,6.75 ,4.12 ,42.99 ,37.35 ,40.90 ,64.68 ,3.93 ,34.84 ,65.16 ,13.04 ,61.45 ,13.15 ,5.86 ,3.42 ,10.64 ,1.17 
0,B.H.D.,33.70 ,57.20 ,1.29 ,3.10 ,0.81 ,3.49 ,55.75 ,77.32 ,3.50 ,4.82 ,7.19 ,90.14 ,37.66 ,52.48 ,9.86 ,5.33 ,43.58 ,39.62 ,33.71 ,68.76 ,2.86 ,48.44 ,51.56 ,26.06 ,63.02 ,10.05 ,5.11 ,2.60 ,9.60 ,6.13 
0,CRUZ,47.43 ,23.84 ,22.61 ,4.20 ,0.21 ,1.60 ,46.45 ,75.35 ,0.48 ,6.57 ,12.83 ,98.36 ,58.34 ,40.02 ,1.64 ,1.62 ,62.95 ,59.46 ,70.04 ,58.23 ,2.62 ,42.94 ,57.06 ,7.87 ,53.29 ,12.13 ,5.29 ,2.47 ,12.79 ,0.15 
0,BDI,23.69 ,57.37 ,12.86 ,1.09 ,2.55 ,3.57 ,62.48 ,84.97 ,0.73 ,10.13 ,10.83 ,83.70 ,81.42 ,2.27 ,16.30 ,3.23 ,27.88 ,27.19 ,36.38 ,80.60 ,1.16 ,56.26 ,43.74 ,6.55 ,78.76 ,17.88 ,13.54 ,1.13 ,3.68 ,0.43 
0,PROFESIONAL,54.81 ,36.61 ,3.01 ,2.07 ,0.45 ,2.75 ,38.91 ,83.78 ,0.70 ,7.17 ,7.89 ,94.75 ,70.20 ,24.56 ,5.25 ,3.37 ,65.42 ,64.00 ,57.73 ,46.27 ,1.79 ,53.53 ,46.47 ,17.38 ,43.01 ,19.98 ,7.35 ,1.75 ,8.20 ,13.49 
0,VIMENCA,35.78 ,1.23 ,53.69 ,5.37 ,0.00 ,3.73 ,55.07 ,74.50 ,1.21 ,21.01 ,22.47 ,96.88 ,96.88 ,0.00 ,3.12 ,13.77 ,48.02 ,48.02 ,89.47 ,73.71 ,7.86 ,53.93 ,46.07 ,56.77 ,70.83 ,8.72 ,5.41 ,7.86 ,8.69 ,0.00 
0,RESERVAS,28.81 ,54.20 ,7.02 ,3.95 ,0.81 ,2.67 ,58.98 ,71.30 ,2.68 ,3.07 ,5.91 ,93.66 ,61.33 ,32.33 ,6.34 ,2.28 ,40.41 ,35.33 ,34.59 ,75.08 ,3.42 ,61.10 ,38.90 ,28.36 ,65.07 ,10.97 ,4.81 ,2.99 ,15.58 ,13.16 
0,SCOTIA BANK,47.12 ,35.61 ,0.09 ,1.07 ,0.12 ,15.03 ,34.00 ,74.52 ,4.05 ,3.96 ,8.16 ,93.56 ,81.43 ,12.13 ,6.44 ,1.75 ,63.23 ,54.55 ,47.21 ,41.33 ,3.20 ,55.63 ,44.37 ,19.81 ,38.87 ,16.80 ,4.04 ,2.76 ,45.08 ,3.24 
0,CITIBANK,20.55 ,54.87 ,9.52 ,5.80 ,0.12 ,8.47 ,65.46 ,64.56 ,4.25 ,4.20 ,20.78 ,96.81 ,62.47 ,34.34 ,3.19 ,5.03 ,31.83 ,28.86 ,30.07 ,90.45 ,5.84 ,47.26 ,52.74 ,18.24 ,81.28 ,15.56 ,2.42 ,5.29 ,30.87 ,16.95 
0,POPULAR,35.13 ,56.64 ,0.38 ,3.45 ,0.29 ,1.94 ,56.60 ,81.93 ,1.02 ,6.44 ,8.09 ,96.24 ,57.80 ,38.44 ,3.76 ,3.06 ,42.87 ,40.21 ,35.13 ,65.27 ,5.02 ,38.98 ,61.02 ,40.40 ,62.03 ,15.48 ,4.62 ,4.71 ,18.06 ,5.76 
0,DEL PROGRESO,35.84 ,47.07 ,7.80 ,3.08 ,1.01 ,4.57 ,52.64 ,79.00 ,1.24 ,5.67 ,6.33 ,91.51 ,42.24 ,49.27 ,8.49 ,3.94 ,45.37 ,39.87 ,43.19 ,61.04 ,4.48 ,34.95 ,65.05 ,15.46 ,58.58 ,16.15 ,6.83 ,3.93 ,7.47 ,1.63 
0,B.H.D.,33.47 ,56.72 ,2.02 ,3.16 ,0.86 ,3.57 ,53.42 ,78.07 ,3.71 ,4.91 ,7.44 ,85.79 ,37.74 ,48.05 ,14.21 ,5.33 ,42.87 ,39.14 ,34.24 ,68.70 ,3.34 ,48.32 ,51.68 ,26.60 ,63.46 ,11.93 ,6.10 ,3.05 ,11.33 ,10.03 
0,CRUZ,42.94 ,24.07 ,26.29 ,4.55 ,0.22 ,1.66 ,50.49 ,77.80 ,0.56 ,6.82 ,15.48 ,98.51 ,59.70 ,38.82 ,1.49 ,2.02 ,55.20 ,52.74 ,69.23 ,61.85 ,3.09 ,43.86 ,56.14 ,9.58 ,59.58 ,14.35 ,6.55 ,2.96 ,12.14 ,0.16 
0,BDI,25.33 ,58.79 ,10.30 ,1.20 ,2.54 ,3.11 ,59.22 ,85.06 ,0.46 ,10.65 ,10.54 ,80.24 ,78.04 ,2.19 ,19.76 ,3.56 ,29.78 ,28.90 ,35.46 ,78.82 ,1.41 ,55.92 ,44.08 ,6.53 ,77.24 ,21.70 ,16.00 ,1.37 ,(4.01),0.46 
0,PROFESIONAL,49.62 ,40.68 ,3.46 ,2.32 ,0.63 ,2.94 ,43.22 ,82.41 ,1.00 ,8.24 ,9.39 ,94.35 ,74.80 ,19.55 ,5.65 ,3.47 ,60.21 ,58.39 ,52.99 ,51.94 ,2.45 ,54.35 ,45.65 ,17.44 ,48.72 ,24.52 ,10.01 ,2.37 ,11.92 ,16.42 
0,VIMENCA,31.02 ,1.21 ,58.70 ,5.06 ,0.00 ,3.52 ,60.05 ,76.89 ,1.19 ,19.93 ,21.19 ,96.44 ,96.44 ,0.00 ,3.56 ,13.28 ,40.34 ,40.34 ,89.72 ,77.92 ,8.25 ,53.26 ,46.74 ,54.83 ,76.02 ,10.07 ,6.24 ,8.25 ,8.10 ,0.00 
0,RESERVAS,26.00 ,56.40 ,7.32 ,4.07 ,0.84 ,3.36 ,60.17 ,72.61 ,2.87 ,3.19 ,6.25 ,91.51 ,61.13 ,30.38 ,8.49 ,2.34 ,35.81 ,31.72 ,31.99 ,77.72 ,3.99 ,60.41 ,39.59 ,28.25 ,67.97 ,12.65 ,5.80 ,3.54 ,17.57 ,13.93 
0,SCOTIA BANK,51.87 ,41.06 ,0.09 ,1.40 ,0.12 ,4.37 ,39.23 ,80.80 ,8.31 ,4.12 ,7.43 ,93.64 ,81.26 ,12.38 ,6.36 ,1.77 ,64.19 ,62.62 ,51.95 ,49.68 ,3.61 ,55.49 ,44.51 ,20.73 ,44.45 ,18.33 ,5.46 ,3.52 ,27.11 ,3.52 
0,CITIBANK,20.72 ,57.72 ,11.87 ,6.07 ,0.11 ,3.04 ,67.38 ,62.88 ,4.13 ,4.40 ,22.96 ,91.31 ,63.04 ,28.28 ,8.69 ,5.05 ,32.94 ,29.69 ,32.59 ,99.75 ,7.37 ,46.24 ,53.76 ,20.25 ,90.33 ,17.29 ,2.96 ,6.65 ,37.85 ,10.36 
0,POPULAR,34.36 ,57.28 ,0.36 ,3.45 ,0.27 ,2.13 ,57.09 ,82.25 ,1.07 ,6.34 ,8.11 ,96.26 ,58.40 ,37.86 ,3.74 ,2.80 ,41.78 ,39.23 ,34.37 ,65.81 ,5.64 ,38.39 ,61.61 ,40.79 ,62.73 ,17.36 ,5.34 ,5.29 ,20.12 ,6.00 
0,DEL PROGRESO,37.41 ,47.05 ,6.98 ,3.05 ,1.01 ,4.33 ,51.38 ,80.00 ,1.37 ,5.70 ,6.39 ,90.60 ,45.42 ,45.18 ,9.40 ,4.00 ,46.76 ,41.64 ,44.01 ,60.13 ,5.20 ,33.91 ,66.09 ,17.11 ,57.71 ,19.56 ,7.85 ,4.63 ,8.03 ,1.76 
0,B.H.D.,36.38 ,52.71 ,2.51 ,3.15 ,1.20 ,3.97 ,53.31 ,77.68 ,3.93 ,4.92 ,7.58 ,91.91 ,40.61 ,51.29 ,8.09 ,4.64 ,46.84 ,42.99 ,37.65 ,65.25 ,3.82 ,47.98 ,52.02 ,25.53 ,59.75 ,14.48 ,7.16 ,3.50 ,13.25 ,8.33 
0,CRUZ,47.25 ,23.04 ,23.22 ,4.30 ,0.22 ,1.76 ,46.47 ,78.29 ,0.54 ,12.93 ,14.75 ,98.45 ,63.43 ,35.01 ,1.55 ,2.42 ,60.35 ,58.55 ,70.47 ,57.33 ,3.41 ,43.96 ,56.04 ,10.84 ,54.27 ,17.54 ,7.31 ,3.30 ,13.31 ,1.62 
0,BDI,25.95 ,57.11 ,10.55 ,1.20 ,3.08 ,3.90 ,61.88 ,84.21 ,0.55 ,10.70 ,11.20 ,86.51 ,84.28 ,2.23 ,13.49 ,3.76 ,30.81 ,29.95 ,36.32 ,78.11 ,1.64 ,55.32 ,44.68 ,6.77 ,76.19 ,25.15 ,18.20 ,1.59 ,1.60 ,0.49 
0,PROFESIONAL,53.98 ,35.70 ,3.18 ,2.13 ,0.54 ,3.56 ,38.29 ,82.53 ,1.58 ,7.57 ,8.93 ,94.79 ,76.70 ,18.09 ,5.21 ,3.62 ,65.41 ,63.99 ,57.07 ,46.08 ,2.51 ,55.46 ,44.54 ,16.73 ,42.69 ,29.95 ,10.82 ,2.46 ,15.94 ,6.29 
0,VIMENCA,23.49 ,1.40 ,66.32 ,4.98 ,0.00 ,3.18 ,67.89 ,77.06 ,1.18 ,19.86 ,20.94 ,99.02 ,99.02 ,0.00 ,0.98 ,11.68 ,30.48 ,30.48 ,89.81 ,87.88 ,9.72 ,50.43 ,49.57 ,54.04 ,85.66 ,11.43 ,7.65 ,9.72 ,7.18 ,0.00 
0,RESERVAS,25.36 ,56.91 ,7.55 ,3.89 ,0.82 ,3.13 ,62.20 ,73.59 ,2.39 ,3.04 ,6.18 ,92.03 ,61.33 ,30.69 ,7.97 ,4.17 ,34.46 ,30.93 ,31.42 ,78.63 ,4.32 ,58.72 ,41.28 ,26.27 ,68.71 ,15.16 ,6.27 ,3.88 ,22.29 ,14.97 
0,SCOTIA BANK,53.80 ,36.19 ,0.08 ,3.45 ,0.08 ,5.16 ,35.08 ,82.71 ,2.21 ,3.76 ,6.74 ,90.84 ,77.88 ,12.96 ,9.16 ,6.06 ,65.05 ,59.98 ,53.88 ,40.44 ,4.56 ,49.30 ,50.70 ,21.17 ,38.90 ,21.59 ,5.52 ,4.20 ,26.03 ,3.23 
0,CITIBANK,24.59 ,55.15 ,10.68 ,5.76 ,0.01 ,2.84 ,59.77 ,61.77 ,4.36 ,4.15 ,21.33 ,82.33 ,59.66 ,22.67 ,17.67 ,7.53 ,39.82 ,35.55 ,35.27 ,95.16 ,8.01 ,45.55 ,54.45 ,17.65 ,83.67 ,19.76 ,3.17 ,7.15 ,35.74 ,9.79 
0,POPULAR,35.46 ,56.59 ,0.37 ,3.23 ,0.27 ,1.84 ,56.29 ,82.34 ,1.12 ,5.88 ,7.96 ,95.71 ,55.36 ,40.35 ,4.29 ,3.14 ,43.06 ,40.48 ,35.46 ,65.04 ,5.90 ,38.10 ,61.90 ,39.94 ,61.89 ,18.63 ,5.74 ,5.54 ,27.17 ,3.53 
0,DEL PROGRESO,37.50 ,46.53 ,7.25 ,2.85 ,1.11 ,4.45 ,51.15 ,80.08 ,1.37 ,5.21 ,6.25 ,89.78 ,44.64 ,45.14 ,10.22 ,4.83 ,46.83 ,41.57 ,44.38 ,59.61 ,5.40 ,33.65 ,66.35 ,15.25 ,57.37 ,20.76 ,8.22 ,4.80 ,15.62 ,1.59 
0,B.H.D.,34.65 ,54.29 ,2.74 ,3.02 ,1.21 ,3.83 ,54.60 ,77.86 ,3.49 ,4.65 ,7.30 ,91.20 ,40.41 ,50.79 ,8.80 ,4.54 ,44.50 ,40.75 ,36.10 ,67.08 ,4.03 ,47.71 ,52.29 ,25.14 ,61.51 ,15.06 ,7.68 ,3.69 ,15.30 ,9.55 
0,CRUZ,49.77 ,21.46 ,21.53 ,3.98 ,0.16 ,1.83 ,42.78 ,81.24 ,0.40 ,11.35 ,13.28 ,96.74 ,60.14 ,36.59 ,3.26 ,2.32 ,61.27 ,59.13 ,71.30 ,51.06 ,3.38 ,42.90 ,57.10 ,9.36 ,49.57 ,18.81 ,7.11 ,3.26 ,16.11 ,1.54 
0,BDI,27.29 ,55.95 ,10.67 ,1.19 ,3.11 ,3.70 ,61.11 ,84.37 ,0.84 ,10.67 ,11.18 ,86.82 ,84.25 ,2.57 ,13.18 ,3.69 ,32.35 ,31.44 ,37.79 ,76.74 ,1.83 ,55.02 ,44.98 ,6.77 ,75.00 ,28.09 ,19.97 ,1.78 ,1.70 ,0.32 
