estatus,banco,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,CITIBANK,19.69 ,58.34 ,9.03 ,5.80 ,0.00 ,5.48 ,66.63 ,56.27 ,5.11 ,5.23 ,22.74 ,95.29 ,65.68 ,29.61 ,4.71 ,3.49 ,35.00 ,31.53 ,28.72 ,107.86 ,10.21 ,47.79 ,52.21 ,30.86 ,87.20 ,22.87 ,4.30 ,9.20 ,43.77 ,9.24 
0,POPULAR,20.53 ,70.10 ,(0.00),4.44 ,0.47 ,2.81 ,69.77 ,76.71 ,1.79 ,7.90 ,11.09 ,97.40 ,63.58 ,33.82 ,2.60 ,2.14 ,26.76 ,23.94 ,20.53 ,81.76 ,9.30 ,37.11 ,62.89 ,48.81 ,78.84 ,20.31 ,6.72 ,8.32 ,32.63 ,6.97 
0,DEL PROGRESO,17.07 ,61.99 ,6.37 ,5.44 ,1.01 ,7.43 ,68.26 ,73.89 ,1.93 ,9.01 ,10.93 ,95.41 ,54.03 ,41.38 ,4.59 ,4.42 ,23.10 ,19.98 ,22.83 ,80.02 ,10.36 ,36.13 ,63.87 ,31.26 ,76.76 ,25.49 ,9.57 ,8.96 ,17.66 ,1.69 
1,BANCREDITO,26.59 ,57.92 ,0.86 ,6.51 ,1.34 ,6.23 ,57.70 ,65.90 ,1.23 ,7.86 ,10.22 ,92.82 ,59.21 ,33.61 ,7.18 ,5.41 ,40.34 ,32.35 ,27.12 ,71.53 ,7.46 ,43.79 ,56.21 ,25.29 ,65.47 ,27.09 ,12.06 ,5.98 ,24.25 ,6.63 
1,MERCANTIL,20.22 ,67.44 ,0.43 ,4.25 ,0.96 ,4.78 ,67.30 ,79.66 ,1.10 ,7.40 ,9.23 ,94.43 ,71.74 ,22.70 ,5.57 ,4.76 ,25.38 ,23.54 ,20.34 ,79.03 ,6.69 ,43.95 ,56.05 ,25.01 ,74.77 ,25.64 ,12.51 ,6.21 ,20.05 ,15.92 
0,B.H.D.,18.48 ,69.01 ,2.09 ,4.25 ,0.78 ,4.82 ,70.79 ,77.24 ,1.96 ,6.23 ,10.04 ,94.65 ,48.59 ,46.07 ,5.35 ,4.92 ,23.92 ,21.47 ,19.08 ,82.61 ,6.51 ,46.43 ,53.57 ,35.04 ,79.04 ,18.19 ,8.41 ,5.84 ,22.14 ,6.28 
1,BANINTER,20.34 ,63.81 ,1.41 ,5.45 ,2.30 ,4.30 ,64.16 ,70.13 ,1.82 ,8.59 ,11.05 ,94.69 ,54.43 ,40.27 ,5.31 ,3.70 ,29.01 ,23.85 ,20.48 ,76.45 ,7.36 ,45.69 ,54.31 ,24.83 ,73.33 ,22.46 ,10.23 ,6.05 ,21.83 ,3.10 
0,CRUZ,49.22 ,40.65 ,0.00 ,7.07 ,0.47 ,2.09 ,40.74 ,79.10 ,0.91 ,12.86 ,14.48 ,98.55 ,74.60 ,23.95 ,1.45 ,1.68 ,62.23 ,59.13 ,49.22 ,48.82 ,6.14 ,45.40 ,54.60 ,27.15 ,47.53 ,26.60 ,8.94 ,5.84 ,11.53 ,0.62 
0,SANTIAGO,17.32 ,55.89 ,0.00 ,3.58 ,0.09 ,22.54 ,41.76 ,58.33 ,0.28 ,48.22 ,40.37 ,64.74 ,64.74 ,0.00 ,35.26 ,13.37 ,29.69 ,29.69 ,17.32 ,95.82 ,22.92 ,46.56 ,53.44 ,35.51 ,93.72 ,34.84 ,20.70 ,22.92 ,(16.96),0.44 
0,BDI,24.38 ,68.81 ,0.94 ,1.12 ,3.52 ,4.09 ,56.35 ,81.56 ,0.85 ,9.92 ,11.10 ,78.56 ,77.72 ,0.84 ,21.44 ,2.43 ,29.89 ,28.98 ,25.15 ,82.91 ,2.03 ,58.38 ,41.62 ,7.46 ,78.46 ,28.56 ,21.14 ,1.96 ,5.63 ,0.00 
0,PROFESIONAL,29.09 ,63.93 ,0.57 ,3.23 ,0.59 ,2.07 ,62.53 ,86.20 ,0.58 ,8.88 ,10.35 ,94.64 ,84.82 ,9.82 ,5.36 ,2.35 ,33.74 ,33.15 ,29.09 ,73.51 ,4.16 ,63.46 ,36.54 ,22.70 ,71.95 ,22.90 ,12.01 ,4.09 ,8.73 ,13.36 
0,VIMENCA,44.22 ,2.11 ,31.65 ,12.49 ,0.00 ,9.10 ,34.10 ,49.11 ,2.34 ,47.47 ,47.89 ,95.75 ,95.75 ,0.00 ,4.25 ,17.33 ,90.04 ,90.04 ,75.87 ,68.74 ,10.93 ,36.37 ,63.63 ,49.06 ,64.79 ,8.00 ,6.03 ,10.93 ,0.67 ,0.00 
0,RESERVAS,38.30 ,46.01 ,4.07 ,2.72 ,(0.09),2.09 ,48.33 ,59.66 ,2.56 ,3.45 ,6.09 ,94.24 ,80.35 ,13.89 ,5.76 ,2.03 ,64.19 ,55.56 ,41.36 ,72.66 ,0.45 ,69.18 ,30.82 ,31.13 ,53.33 ,1.59 ,0.60 ,0.39 ,2.66 ,14.10 
0,SCOTIA BANK,30.66 ,64.11 ,0.18 ,2.10 ,0.43 ,1.09 ,63.96 ,79.48 ,1.66 ,6.37 ,12.28 ,97.06 ,84.62 ,12.44 ,2.94 ,2.43 ,38.58 ,36.66 ,30.84 ,76.85 ,0.69 ,56.16 ,43.84 ,19.24 ,73.29 ,2.11 ,0.86 ,0.66 ,4.19 ,1.74 
0,CITIBANK,19.55 ,54.09 ,13.81 ,5.19 ,0.00 ,5.76 ,67.31 ,56.82 ,6.83 ,4.58 ,21.29 ,95.64 ,62.56 ,33.08 ,4.36 ,3.31 ,34.42 ,31.41 ,33.36 ,109.05 ,0.72 ,50.14 ,49.86 ,19.75 ,86.27 ,1.89 ,0.31 ,0.66 ,6.79 ,5.54 
0,POPULAR,20.96 ,69.06 ,0.08 ,4.30 ,0.44 ,3.10 ,68.76 ,77.92 ,1.42 ,7.42 ,10.87 ,97.19 ,62.12 ,35.07 ,2.81 ,2.28 ,26.89 ,24.51 ,21.03 ,80.84 ,0.93 ,51.94 ,48.06 ,46.92 ,77.56 ,1.97 ,0.61 ,0.85 ,1.48 ,7.01 
0,DEL PROGRESO,18.16 ,58.99 ,9.13 ,4.94 ,0.92 ,6.96 ,68.02 ,74.95 ,1.55 ,8.21 ,10.13 ,95.55 ,52.27 ,43.28 ,4.45 ,4.30 ,24.23 ,20.93 ,26.72 ,78.50 ,0.71 ,37.79 ,62.21 ,12.66 ,75.80 ,1.80 ,0.92 ,0.61 ,1.76 ,1.66 
1,BANCREDITO,25.04 ,57.26 ,0.87 ,6.62 ,1.30 ,7.53 ,57.15 ,70.59 ,2.29 ,7.92 ,10.32 ,92.48 ,61.22 ,31.26 ,7.52 ,5.90 ,35.47 ,29.66 ,25.58 ,68.87 ,0.59 ,46.04 ,53.96 ,22.23 ,64.82 ,2.82 ,1.11 ,0.49 ,0.32 ,6.71 
1,MERCANTIL,21.23 ,66.68 ,0.49 ,4.22 ,0.92 ,4.20 ,66.38 ,80.98 ,1.31 ,7.05 ,8.83 ,94.26 ,69.03 ,25.22 ,5.74 ,4.60 ,26.21 ,24.35 ,21.43 ,77.05 ,0.56 ,42.71 ,57.29 ,12.67 ,73.68 ,2.40 ,1.27 ,0.52 ,0.38 ,14.80 
0,B.H.D.,17.80 ,69.35 ,2.12 ,4.16 ,0.71 ,4.91 ,70.45 ,78.25 ,2.30 ,6.01 ,9.82 ,93.61 ,46.35 ,47.26 ,6.39 ,4.99 ,22.74 ,20.71 ,18.39 ,83.17 ,0.56 ,51.61 ,48.39 ,29.29 ,79.25 ,1.64 ,0.80 ,0.51 ,1.33 ,6.63 
1,BANINTER,14.18 ,68.83 ,1.52 ,5.60 ,2.36 ,4.41 ,68.77 ,64.58 ,1.37 ,8.78 ,11.74 ,94.24 ,48.79 ,45.45 ,5.76 ,3.56 ,21.96 ,16.79 ,14.33 ,83.27 ,0.75 ,43.92 ,56.08 ,28.53 ,79.70 ,1.84 ,0.96 ,0.58 ,3.53 ,4.00 
0,CRUZ,53.97 ,36.76 ,0.00 ,6.32 ,0.42 ,2.11 ,36.67 ,75.61 ,0.38 ,11.59 ,13.18 ,97.96 ,71.10 ,26.86 ,2.04 ,1.81 ,71.39 ,67.95 ,53.97 ,46.28 ,0.55 ,43.24 ,56.76 ,7.73 ,42.34 ,3.23 ,0.99 ,0.52 ,1.64 ,0.46 
0,SANTIAGO,17.72 ,55.72 ,0.00 ,3.63 ,0.09 ,22.48 ,38.57 ,58.04 ,0.36 ,49.55 ,40.54 ,59.73 ,59.73 ,0.00 ,40.27 ,13.72 ,30.53 ,30.53 ,17.72 ,96.01 ,1.76 ,48.01 ,51.99 ,44.14 ,93.71 ,1.91 ,1.74 ,1.76 ,(1.96),0.45 
0,BDI,25.44 ,68.08 ,0.94 ,1.14 ,3.15 ,3.60 ,54.79 ,83.56 ,0.58 ,9.96 ,10.73 ,77.06 ,76.13 ,0.93 ,22.94 ,2.55 ,30.44 ,29.50 ,26.22 ,80.05 ,0.17 ,60.61 ,39.39 ,6.18 ,77.32 ,2.31 ,1.87 ,0.16 ,(4.29),0.00 
0,PROFESIONAL,24.88 ,66.00 ,0.61 ,3.46 ,0.63 ,2.33 ,64.49 ,83.90 ,0.81 ,9.57 ,11.26 ,94.49 ,88.67 ,5.81 ,5.51 ,2.39 ,29.65 ,29.33 ,24.88 ,78.52 ,0.40 ,64.41 ,35.59 ,20.97 ,75.06 ,2.24 ,1.46 ,0.40 ,0.95 ,14.74 
0,VIMENCA,55.63 ,1.63 ,25.48 ,9.95 ,0.00 ,7.29 ,27.38 ,59.94 ,1.87 ,38.21 ,37.64 ,95.84 ,95.84 ,0.00 ,4.16 ,17.93 ,92.80 ,92.80 ,81.10 ,45.23 ,1.77 ,62.36 ,37.64 ,60.73 ,43.47 ,1.89 ,1.04 ,1.77 ,(2.25),0.00 
0,RESERVAS,32.36 ,50.82 ,3.96 ,3.15 ,0.20 ,2.61 ,52.94 ,68.99 ,2.12 ,3.86 ,6.80 ,93.74 ,78.33 ,15.41 ,6.26 ,2.75 ,46.90 ,40.97 ,35.18 ,69.35 ,0.94 ,67.63 ,32.37 ,31.60 ,58.77 ,3.36 ,1.23 ,0.82 ,5.83 ,16.03 
